Episode Number: 1, Episode Reward: -18.0, Running Mean: -18.0
Episode Number: 2, Episode Reward: -6.0, Running Mean: -17.88
Episode Number: 3, Episode Reward: -15.0, Running Mean: -17.8512
Episode Number: 4, Episode Reward: -13.0, Running Mean: -17.802687999999996
Episode Number: 5, Episode Reward: -17.0, Running Mean: -17.794661119999997
Episode Number: 6, Episode Reward: -13.0, Running Mean: -17.746714508799997
Episode Number: 7, Episode Reward: -19.0, Running Mean: -17.759247363712
Episode Number: 8, Episode Reward: -13.0, Running Mean: -17.71165489007488
Episode Number: 9, Episode Reward: -18.0, Running Mean: -17.71453834117413
Episode Number: 10, Episode Reward: -13.0, Running Mean: -17.667392957762388
Episode Number: 11, Episode Reward: -13.0, Running Mean: -17.620719028184762
Episode Number: 12, Episode Reward: -21.0, Running Mean: -17.654511837902916
Episode Number: 13, Episode Reward: -9.0, Running Mean: -17.567966719523888
Episode Number: 14, Episode Reward: -13.0, Running Mean: -17.522287052328647
Episode Number: 15, Episode Reward: -10.0, Running Mean: -17.447064181805363
Episode Number: 16, Episode Reward: -15.0, Running Mean: -17.422593539987307
Episode Number: 17, Episode Reward: -17.0, Running Mean: -17.418367604587434
Episode Number: 18, Episode Reward: -14.0, Running Mean: -17.38418392854156
Episode Number: 19, Episode Reward: -10.0, Running Mean: -17.310342089256146
Episode Number: 20, Episode Reward: -17.0, Running Mean: -17.307238668363585
Episode Number: 21, Episode Reward: -18.0, Running Mean: -17.31416628167995
Episode Number: 22, Episode Reward: -16.0, Running Mean: -17.30102461886315
Episode Number: 23, Episode Reward: -11.0, Running Mean: -17.238014372674517
Episode Number: 24, Episode Reward: -10.0, Running Mean: -17.165634228947773
Episode Number: 25, Episode Reward: -12.0, Running Mean: -17.113977886658297
Episode Number: 26, Episode Reward: -15.0, Running Mean: -17.092838107791714
Episode Number: 27, Episode Reward: -17.0, Running Mean: -17.091909726713798
Episode Number: 28, Episode Reward: -4.0, Running Mean: -16.96099062944666
Episode Number: 29, Episode Reward: -14.0, Running Mean: -16.93138072315219
Episode Number: 30, Episode Reward: -18.0, Running Mean: -16.94206691592067
Episode Number: 31, Episode Reward: -11.0, Running Mean: -16.88264624676146
Episode Number: 32, Episode Reward: -14.0, Running Mean: -16.853819784293847
Episode Number: 33, Episode Reward: -15.0, Running Mean: -16.835281586450908
Episode Number: 34, Episode Reward: -9.0, Running Mean: -16.7569287705864
Episode Number: 35, Episode Reward: -14.0, Running Mean: -16.729359482880536
Episode Number: 36, Episode Reward: -13.0, Running Mean: -16.69206588805173
Episode Number: 37, Episode Reward: -16.0, Running Mean: -16.685145229171212
Episode Number: 38, Episode Reward: -15.0, Running Mean: -16.668293776879498
Episode Number: 39, Episode Reward: -8.0, Running Mean: -16.581610839110702
